Timestamp,Group,Q1_Alignment,Q2_Integration,Q3_Engagement,Q4_Stimulation,Q5_Support,Q6_Accessibility,Q7_Integration,Q8_Autonomy,Q9_Adaptability,Q10_Presentation,LearningPoint,Suggestions
6/11/24 20:46,Group 1,6,6,6,6,6,6,6,6,6,6,"I think the most valuable lesson is that if I can think of it, it's probably possible with coding! I would love to learn how to connect LMS to the apps!","I think that during the presentation, the teacher could have made the students read the questions aloud but as it was a mock lesson, I think she was just nervous, as she did have Ss talk a lot when we practiced each time."
6/11/24 20:47,Group 1,6,5,3,5,4,3,4,3,5,4,The firtst activty can make student understand vocabulary meaning and pronunciation at the same time.,It can be better if it is easy to approach the apps.
6/11/24 20:47,Group 1,6,6,6,6,6,6,6,6,6,6,학생들을 위한 Scaffolding이 잘 설계되어 있었다. Students 페이지를 통해서 학생들이 해야할 것들이 한 눈에 보이고 각 앱을 어떻게 사용하는지 instruction이 잘 적혀 있었고 선생님도 데모를 통해 잘 보여주었다.,수업 후 학생들에게 온라인으로 어떻게 피드백을 줄 것인지 구체적으로 생각해보면 좋겠다.
6/11/24 20:47,Group 1,6,5,4,6,6,6,5,5,4,6,Give a template as scaffolding to write a promt to make their own image through AI,Consider to deal with various proficiency levels
6/11/24 20:48,Group 1,6,6,6,6,5,5,6,6,5,6,Using various applications and technological tools makes learning more engaging and fun.,It would be even better if the team had used fewer apps to help students concentrate on language acquisition itself. Find a balance between fun and learning.
6/11/24 20:48,Group 1,5,4,5,5,5,4,5,5,5,5,Flashcard app was very impressive. I think it’s very helpful for students and easy to use.,Maybe Ss would need more detailed instruction in real class but you guys did a great job!
6/11/24 20:48,Group 1,5,5,4,4,6,6,5,4,6,5,"With appropriate level (easy to difficult), students can easily follow the class.",They were doing great!
6/11/24 20:49,Group 1,5,5,4,4,5,4,4,5,5,6,포스트 액티비티,앱을 학생들이 어떻게 활용하고 참여하는 지를 보여줄 수 있으면 더 좋았을것 같아요.
6/11/24 20:49,Group 1,5,5,5,5,5,5,5,5,5,5,Post listening part was the most valuable to me because learners can share their ideas.,Giving teacher's feedback
6/11/24 20:50,Group 1,6,5,6,6,6,6,6,5,6,6,확실한 교육 목표를 세우고 이에 맞게 차근차근 수업을 진행하는 것이 좋았습니다.,수업 전반적인 진행이 기존의 수업 틀에서 벗어나 있지 않았습니다. 앱을 활용하여 학생들이 단어와 문제를 재미있게 풀수는 있지만 그외에 부분에서 별다른 특별함을 받지 멋하였습니다. 학습 콘텐츠는 매우 좋지만 온라인 수업의 강점이 빠진 것 같습니다.
6/11/24 20:51,Group 1,5,5,4,4,6,4,4,4,4,4,"In the last, student generate the new images and the output was outstanding. Using the AI app for the class was offering real-time feedback and additional resources. And the scaffolding of the process was very good.",설명과 활용이 같은 페이지에 있으면서 교사가 화면 바깥으로 이동을 해서인지 몰입력이 조금 떨어진 부분은 아쉬웠습니다.
6/11/24 20:51,Group 1,6,6,6,6,6,6,6,6,6,6,Group work! I feel thankful to my group members for the helping and guiding towards the final project.,"앱으로 구현하는데에 어려움을 겪었기 때문에, 코드를 만드는 것 뿐만 아니라 그 코드를 ai를 통해서 만들려고 시도 할 때에 알맞은 명령을 주는게 어려운 것 같습니다. 이번 기회를 통해서 코딩을 접해본 것이 의미가 있었고 발전하는 ai tool 들을 사용하여 어떻게 티칭에 접목시켜야 할지 생각해 볼 수 있는 시간이어서 좋았습니다!! 감사합니다!"
