Word,Frequency
john,11
cave,10
mary,10
map,6
whispers,5
small,4
treasure,4
found,4
light,4
path,4
time,3
marked,3
mysterious,3
said,3
could,3
lets,3
sandwiches,3
next,3
followed,3
reached,3
ancient,3
water,3
though,3
gold,3
back,3
upon,2
windale,2
ventured,2
uncovered,2
captain,2
eldridge,2
full,2
adventure,2
tell,2
exclaimed,2
flashlights,2
adventures,2
entrance,2
air,2
grew,2
hidden,2
voice,2
slightly,2
stepped,2
inside,2
darkness,2
forming,2
whispering,2
seemed,2
words,2
way,2
pool,2
hearts,2
keep,2
town,1
two,1
adventurous,1
friends,1
stumbled,1
old,1
johns,1
attic,1
dusty,1
edges,1
frayed,1
clearly,1
trail,1
leading,1
anyone,1
secrets,1
would,1
find,1
lost,1
notorious,1
pirate,1
vanished,1
without,1
trace,1
wild,1
curly,1
hair,1
eyes,1
mischief,1
first,1
propose,1
imagine,1
stories,1
cautious,1
unable,1
resist,1
challenge,1
agreed,1
prepare,1
need,1
ropes,1
maybe,1
always,1
better,1
wink,1
morning,1
armed,1
backpacks,1
unstoppable,1
curiosity,1
set,1
woods,1
bubbling,1
creek,1
along,1
ridge,1
base,1
hill,1
oak,1
tree,1
according,1
beyond,1
approached,1
cooler,1
dimmed,1
shadowed,1
towering,1
trees,1
finally,1
ita,1
gaping,1
hillside,1
partially,1
moss,1
ivy,1
whispered,1
echoing,1
open,1
deep,1
breath,1
cutting,1
vast,1
stalactites,1
stalagmites,1
eerie,1
shapes,1
distant,1
soundsperhaps,1
drip,1
scuttle,1
animalreached,1
ears,1
deeper,1
faint,1
dance,1
around,1
made,1
wind,1
reassured,1
felt,1
tingling,1
sense,1
something,1
cavern,1
split,1
indicated,1
go,1
left,1
right,1
glowed,1
faintly,1
unusual,1
phosphorescent,1
says,1
pointed,1
drawn,1
glowing,1
see,1
whats,1
might,1
clue,1
suggested,1
reluctantly,1
glow,1
led,1
chamber,1
center,1
crystalclear,1
reflected,1
shimmering,1
hundreds,1
tiny,1
gems,1
embedded,1
ceiling,1
breathtaking,1
overcome,1
awe,1
touch,1
louder,1
brave,1
true,1
bold,1
lift,1
reveal,1
murmured,1
clear,1
someone,1
standing,1
startled,1
respond,1
floor,1
shifting,1
feet,1
revealing,1
drawer,1
chest,1
filled,1
assortment,1
strange,1
coins,1
perfectly,1
preserved,1
pirates,1
compass,1
must,1
belonged,1
thrilled,1
discovery,1
wasnt,1
expected,1
didnt,1
end,1
finding,1
realization,1
journey,1
mysteries,1
valuable,1
pride,1
story,1
promising,1
secret,1
leaving,1
emerged,1
sunlight,1
looked,1
exploring,1
theres,1
much,1
nodded,1
well,1
laughed,1
heading,1
home,1
spirits,1
breeze,1
legend,1
began,1
many,1
come,1
