Word,Frequency
cave,10
map,6
whispers,5
treasure,4
path,4
marked,3
mysterious,3
sandwiches,3
followed,3
reached,3
ancient,3
though,3
windale,2
ventured,2
uncovered,2
captain,2
eldridge,2
adventure,2
exclaimed,2
flashlights,2
adventures,2
entrance,2
hidden,2
slightly,2
stepped,2
darkness,2
whispering,2
hearts,2
adventurous,1
friends,1
stumbled,1
attic,1
dusty,1
edges,1
frayed,1
trail,1
secrets,1
notorious,1
pirate,1
vanished,1
trace,1
curly,1
mischief,1
propose,1
imagine,1
cautious,1
unable,1
resist,1
challenge,1
agreed,1
prepare,1
ropes,1
armed,1
backpacks,1
unstoppable,1
curiosity,1
woods,1
bubbling,1
creek,1
ridge,1
oak,1
according,1
beyond,1
approached,1
cooler,1
dimmed,1
shadowed,1
towering,1
finally,1
gaping,1
hillside,1
partially,1
moss,1
ivy,1
whispered,1
echoing,1
breath,1
cutting,1
vast,1
stalactites,1
stalagmites,1
eerie,1
distant,1
soundsperhaps,1
drip,1
scuttle,1
animalreached,1
deeper,1
faint,1
reassured,1
tingling,1
cavern,1
split,1
indicated,1
glowed,1
faintly,1
unusual,1
phosphorescent,1
pointed,1
drawn,1
glowing,1
clue,1
suggested,1
reluctantly,1
glow,1
led,1
chamber,1
crystalclear,1
reflected,1
shimmering,1
hundreds,1
tiny,1
gems,1
embedded,1
ceiling,1
breathtaking,1
overcome,1
awe,1
brave,1
bold,1
lift,1
reveal,1
murmured,1
startled,1
respond,1
floor,1
shifting,1
feet,1
revealing,1
drawer,1
chest,1
filled,1
assortment,1
strange,1
coins,1
perfectly,1
preserved,1
pirates,1
compass,1
belonged,1
thrilled,1
discovery,1
expected,1
finding,1
realization,1
journey,1
mysteries,1
valuable,1
pride,1
promising,1
secret,1
emerged,1
sunlight,1
exploring,1
nodded,1
laughed,1
heading,1
spirits,1
breeze,1
legend,1
