Gender,FoodPreference,Age,EatOut
Male,Vegetarian,20,9
Male,Vegetarian,23,0
Male,Vegetarian,23,10
Male,Vegetarian,59,2
Male,Vegetarian,29,10
Male,Vegetarian,39,7
Male,Vegetarian,41,2
Male,Vegetarian,56,9
Male,Vegetarian,43,2
Male,Vegetarian,26,3
Male,Vegetarian,44,3
Male,Vegetarian,44,2
Male,Vegetarian,32,3
Male,Vegetarian,21,4
Male,Vegetarian,58,1
Male,Vegetarian,59,2
Male,Vegetarian,43,9
Male,Vegetarian,44,10
Male,Vegetarian,37,1
Male,Vegetarian,57,4
Male,Non-Vegetarian,45,15
Male,Non-Vegetarian,33,17
Male,Non-Vegetarian,28,18
Male,Non-Vegetarian,29,18
Male,Non-Vegetarian,40,19
Male,Non-Vegetarian,36,12
Male,Non-Vegetarian,25,18
Male,Non-Vegetarian,35,16
Male,Non-Vegetarian,20,16
Male,Non-Vegetarian,38,19
Male,Non-Vegetarian,55,11
Male,Non-Vegetarian,44,16
Male,Non-Vegetarian,49,18
Male,Non-Vegetarian,39,18
Male,Non-Vegetarian,39,13
Male,Non-Vegetarian,34,12
Male,Non-Vegetarian,59,13
Male,Non-Vegetarian,52,20
Male,Non-Vegetarian,21,16
Male,Non-Vegetarian,29,13
Male,Non-Vegetarian,52,16
Male,Non-Vegetarian,51,15
Male,Non-Vegetarian,30,17
Male,Non-Vegetarian,43,10
Male,Non-Vegetarian,55,18
Male,Non-Vegetarian,31,14
Female,Vegetarian,48,10
Female,Vegetarian,54,6
Female,Vegetarian,20,8
Female,Vegetarian,20,2
Female,Vegetarian,56,3
Female,Vegetarian,25,0
Female,Vegetarian,58,0
Female,Vegetarian,37,6
Female,Vegetarian,35,0
Female,Vegetarian,24,6
Female,Vegetarian,51,3
Female,Vegetarian,21,10
Female,Vegetarian,21,3
Female,Vegetarian,59,8
Female,Vegetarian,55,8
Female,Vegetarian,58,8
Female,Vegetarian,31,2
Female,Vegetarian,38,3
Female,Vegetarian,47,2
Female,Vegetarian,20,0
Female,Vegetarian,34,8
Female,Vegetarian,55,8
Female,Vegetarian,32,3
Female,Vegetarian,40,8
Female,Vegetarian,31,10
Female,Vegetarian,24,2
Female,Vegetarian,26,8
Female,Vegetarian,24,4
Female,Vegetarian,23,3
Female,Vegetarian,32,0
Female,Vegetarian,56,4
Female,Vegetarian,34,3
Female,Vegetarian,35,6
Female,Vegetarian,40,9
Female,Vegetarian,55,8
Female,Vegetarian,43,0
Female,Vegetarian,35,8
Female,Vegetarian,33,5
Female,Vegetarian,41,9
Female,Vegetarian,25,0
Female,Vegetarian,55,9
Female,Vegetarian,20,6
Female,Vegetarian,51,5
Female,Vegetarian,25,3
Female,Vegetarian,50,1
Female,Vegetarian,20,8
Female,Vegetarian,56,9
