Exercise_Frequency,Health_Perception
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Healthy
Exercise Regularly,Unhealthy
Exercise Regularly,Unhealthy
Exercise Regularly,Unhealthy
Exercise Regularly,Unhealthy
Exercise Regularly,Unhealthy
Exercise Regularly,Unhealthy
Exercise Regularly,Unhealthy
Exercise Regularly,Unhealthy
Exercise Regularly,Unhealthy
Exercise Regularly,Unhealthy
Exercise Regularly,Unhealthy
Exercise Regularly,Unhealthy
Exercise Regularly,Unhealthy
Exercise Regularly,Unhealthy
Exercise Regularly,Unhealthy
Exercise Regularly,Unhealthy
Exercise Regularly,Unhealthy
Exercise Regularly,Unhealthy
Exercise Regularly,Unhealthy
Exercise Regularly,Unhealthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
