Major,Interest_OnlineCourses
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
Science,Not Interested
