SID,LEVEL,WORD,POS
1,A2,ability,noun
2,A2,able,adjective
3,A2,accept,verb
4,A2,accident,noun
5,A2,achieve,verb
6,A2,act,verb
7,A2,active,adjective
8,A2,actually,adverb
9,A2,adult,adjective
10,A2,advantage,noun
11,A2,adventure,noun
12,A2,advertise,verb
13,A2,advertisement,noun
14,A2,advertising,noun
15,A2,affect,verb
16,A2,airline,noun
17,A2,alive,adjective
18,A2,all,adverb
19,A2,allow,verb
20,A2,allright,adjective
21,A2,almost,adverb
22,A2,alone,adjective
23,A2,already,adverb
24,A2,alternative,noun
25,A2,amount,noun
26,A2,analyze,verb
27,A2,ancient,adjective
28,A2,ankle,noun
29,A2,any,adverb
30,A2,anymore,adverb
31,A2,anyway,adverb
32,A2,anywhere,adverb
33,A2,app,noun
34,A2,appear,verb
35,A2,appearance,noun
36,A2,apply,verb
37,A2,architect,noun
38,A2,architecture,noun
39,A2,argue,verb
40,A2,argument,noun
41,A2,army,noun
42,A2,arrange,verb
43,A2,arrangement,noun
44,A2,asleep,adjective
45,A2,assistant,noun
46,A2,athlete,noun
47,A2,attack,noun
48,A2,attend,verb
49,A2,attention,noun
50,A2,attractive,adjective
51,A2,audience,noun
52,A2,author,noun
53,A2,available,adjective
54,A2,average,adjective
55,A2,avoid,verb
56,A2,award,noun
57,A2,awful,adjective
58,A2,back,adjective
59,A2,background,noun
60,A2,badly,adverb
61,A2,based,adjective
62,A2,bean,noun
63,A2,bear,noun
64,A2,beat,verb
65,A2,beef,noun
66,A2,behave,verb
67,A2,behavior,noun
68,A2,belong,verb
69,A2,belt,noun
70,A2,benefit,noun
71,A2,between,adverb
72,A2,biology,noun
73,A2,birth,noun
74,A2,bit,noun
75,A2,blank,adjective
76,A2,block,noun
77,A2,blood,noun
78,A2,blow,verb
79,A2,board,noun
80,A2,boil,verb
81,A2,bone,noun
82,A2,book,verb
83,A2,borrow,verb
84,A2,boss,noun
85,A2,bottom,noun
86,A2,bowl,noun
87,A2,brain,noun
88,A2,bridge,noun
89,A2,bright,adjective
90,A2,brilliant,adjective
91,A2,broken,adjective
92,A2,brush,verb
93,A2,burn,verb
94,A2,businessman,noun
95,A2,button,noun
96,A2,camp,noun
97,A2,camping,noun
98,A2,campus,noun
99,A2,can,noun
100,A2,candy,noun
101,A2,care,noun
102,A2,careful,adjective
103,A2,carefully,adverb
104,A2,carpet,noun
105,A2,cartoon,noun
106,A2,case,noun
107,A2,cash,noun
108,A2,catch,verb
109,A2,cause,noun
110,A2,celebrate,verb
111,A2,celebrity,noun
112,A2,cell,noun
113,A2,century,noun
114,A2,certain,adjective
115,A2,certainly,adverb
116,A2,chance,noun
117,A2,character,noun
118,A2,charity,noun
119,A2,chat,verb
120,A2,check,noun
121,A2,chef,noun
122,A2,chemistry,noun
123,A2,chip,noun
124,A2,choice,noun
125,A2,church,noun
126,A2,cigarette,noun
127,A2,circle,noun
128,A2,classical,adjective
129,A2,clear,adjective
130,A2,clearly,adverb
131,A2,clerk,noun
132,A2,climate,noun
133,A2,close,adjective
134,A2,closed,adjective
135,A2,closet,noun
136,A2,clothing,noun
137,A2,cloud,noun
138,A2,coach,noun
139,A2,coast,noun
140,A2,code,noun
141,A2,colleague,noun
142,A2,collect,verb
143,A2,column,noun
144,A2,comedy,noun
145,A2,comfortable,adjective
146,A2,comment,noun
147,A2,communicate,verb
148,A2,community,noun
149,A2,compete,verb
150,A2,competition,noun
151,A2,complain,verb
152,A2,completely,adverb
153,A2,condition,noun
154,A2,conference,noun
155,A2,connect,verb
156,A2,connected,adjective
157,A2,consider,verb
158,A2,contain,verb
159,A2,context,noun
160,A2,continent,noun
161,A2,continue,verb
162,A2,control,noun
163,A2,cook,noun
164,A2,cookie,noun
165,A2,copy,noun
166,A2,corner,noun
167,A2,correctly,adverb
168,A2,count,verb
169,A2,couple,noun
170,A2,cover,verb
171,A2,crazy,adjective
172,A2,creative,adjective
173,A2,credit,noun
174,A2,crime,noun
175,A2,criminal,noun
176,A2,cross,verb
177,A2,crowd,noun
178,A2,crowded,adjective
179,A2,cry,verb
180,A2,curly,adjective
181,A2,cycle,noun
182,A2,daily,adjective
183,A2,danger,noun
184,A2,dark,noun
185,A2,data,noun
186,A2,dead,adjective
187,A2,deal,verb
188,A2,death,noun
189,A2,decision,noun
190,A2,deep,adjective
191,A2,definitely,adverb
192,A2,degree,noun
193,A2,dentist,noun
194,A2,department,noun
195,A2,depend,verb
196,A2,desert,noun
197,A2,designer,noun
198,A2,dessert,noun
199,A2,destroy,verb
200,A2,detective,noun
201,A2,develop,verb
202,A2,device,noun
203,A2,diary,noun
204,A2,differently,adverb
205,A2,digital,adjective
206,A2,direct,adjective
207,A2,direction,noun
208,A2,director,noun
209,A2,disagree,verb
210,A2,disappear,verb
211,A2,disaster,noun
212,A2,discover,verb
213,A2,discovery,noun
214,A2,discussion,noun
215,A2,disease,noun
216,A2,distance,noun
217,A2,divorced,adjective
218,A2,document,noun
219,A2,double,adjective
220,A2,download,verb
221,A2,downstairs,adjective
222,A2,downtown,adverb
223,A2,drama,noun
224,A2,drawing,noun
225,A2,dream,noun
226,A2,drive,noun
227,A2,driving,noun
228,A2,drop,verb
229,A2,drug,noun
230,A2,dry,adjective
231,A2,earn,verb
232,A2,earth,noun
233,A2,easily,adverb
234,A2,education,noun
235,A2,effect,noun
236,A2,electric,adjective
237,A2,electrical,adjective
238,A2,electricity,noun
239,A2,electronic,adjective
240,A2,elevator,noun
241,A2,employ,verb
242,A2,employee,noun
243,A2,employer,noun
244,A2,empty,adjective
245,A2,ending,noun
246,A2,energy,noun
247,A2,engine,noun
248,A2,engineer,noun
249,A2,enormous,adjective
250,A2,enter,verb
251,A2,environment,noun
252,A2,equipment,noun
253,A2,error,noun
254,A2,especially,adverb
255,A2,essay,noun
256,A2,everyday,adjective
257,A2,everywhere,adverb
258,A2,evidence,noun
259,A2,exact,adjective
260,A2,exactly,adverb
261,A2,excellent,adjective
262,A2,exist,verb
263,A2,expect,verb
264,A2,experience,noun
265,A2,experiment,noun
266,A2,expert,noun
267,A2,explanation,noun
268,A2,express,verb
269,A2,expression,noun
270,A2,extreme,adjective
271,A2,extremely,adverb
272,A2,factor,noun
273,A2,factory,noun
274,A2,fail,verb
275,A2,fair,adjective
276,A2,fan,noun
277,A2,farm,verb
278,A2,farming,noun
279,A2,fashion,noun
280,A2,fat,noun
281,A2,fear,noun
282,A2,feature,noun
283,A2,feed,verb
284,A2,female,adjective
285,A2,fever,noun
286,A2,fiction,noun
287,A2,field,noun
288,A2,fight,verb
289,A2,figure,noun
290,A2,film,noun
291,A2,final,noun
292,A2,finally,adverb
293,A2,finger,noun
294,A2,finish,noun
295,A2,fire,verb
296,A2,first,noun
297,A2,fish,verb
298,A2,fishing,noun
299,A2,fit,verb
300,A2,fix,verb
