SID,LEVEL,WORD,POS
1,B2,abandon,verb
2,B2,abroad,adverb
3,B2,absolute,adjective
4,B2,acceptable,adjective
5,B2,accompany,verb
6,B2,account,verb
7,B2,accurate,adjective
8,B2,accuse,verb
9,B2,acknowledge,verb
10,B2,acquire,verb
11,B2,actual,adjective
12,B2,adapt,verb
13,B2,additional,adjective
14,B2,address,verb
15,B2,adopt,verb
16,B2,advance,noun
17,B2,affair,noun
18,B2,afterward,adverb
19,B2,agency,noun
20,B2,agenda,noun
21,B2,aggressive,adjective
22,B2,aid,noun
23,B2,aircraft,noun
24,B2,alarm,verb
25,B2,alter,verb
26,B2,amount,verb
27,B2,anger,noun
28,B2,angle,noun
29,B2,anniversary,noun
30,B2,annual,adjective
31,B2,anxious,adjective
32,B2,apparent,adjective
33,B2,apparently,adverb
34,B2,appeal,noun
35,B2,approach,noun
36,B2,appropriate,adjective
37,B2,approval,noun
38,B2,approve,verb
39,B2,arise,verb
40,B2,armed,adjective
41,B2,arms,noun
42,B2,artificial,adjective
43,B2,artistic,adjective
44,B2,ashamed,adjective
45,B2,aside,adverb
46,B2,aspect,noun
47,B2,assess,verb
48,B2,assessment,noun
49,B2,associate,verb
50,B2,associated,adjective
51,B2,association,noun
52,B2,assume,verb
53,B2,attempt,noun
54,B2,attorney,noun
55,B2,back,verb
56,B2,bacteria,noun
57,B2,bar,verb
58,B2,barrier,noun
59,B2,basically,adverb
60,B2,battle,verb
61,B2,bear,verb
62,B2,beat,noun
63,B2,beg,verb
64,B2,being,noun
65,B2,bent,adjective
66,B2,bet,verb
67,B2,bill,verb
68,B2,bitter,adjective
69,B2,blame,verb
70,B2,blind,adjective
71,B2,bond,noun
72,B2,border,verb
73,B2,breast,noun
74,B2,brief,adjective
75,B2,broad,adjective
76,B2,broadcast,verb
77,B2,budget,noun
78,B2,bullet,noun
79,B2,bunch,noun
80,B2,burn,noun
81,B2,bush,noun
82,B2,calculate,verb
83,B2,cancel,verb
84,B2,cancer,noun
85,B2,capable,adjective
86,B2,capacity,noun
87,B2,capture,verb
88,B2,cast,noun
89,B2,catch,noun
90,B2,chain,verb
91,B2,chair,verb
92,B2,chairman,noun
93,B2,challenge,verb
94,B2,characteristic,noun
95,B2,chart,verb
96,B2,chief,adjective
97,B2,circumstance,noun
98,B2,cite,verb
99,B2,citizen,noun
100,B2,civil,adjective
101,B2,classic,adjective
102,B2,close,noun
103,B2,closely,adverb
104,B2,collapse,verb
105,B2,combination,noun
106,B2,comfort,noun
107,B2,command,noun
108,B2,commission,noun
109,B2,commitment,noun
110,B2,committee,noun
111,B2,commonly,adverb
112,B2,complex,noun
113,B2,complicated,adjective
114,B2,component,noun
115,B2,concentration,noun
116,B2,concept,noun
117,B2,concern,noun
118,B2,concerned,adjective
119,B2,conduct,verb
120,B2,confidence,noun
121,B2,conflict,noun
122,B2,confusing,adjective
123,B2,congress,noun
124,B2,conscious,adjective
125,B2,conservative,adjective
126,B2,consideration,noun
127,B2,consistent,adjective
128,B2,constant,adjective
129,B2,constantly,adverb
130,B2,construct,verb
131,B2,construction,noun
132,B2,contemporary,adjective
133,B2,contest,noun
134,B2,contract,noun
135,B2,contribute,verb
136,B2,contribution,noun
137,B2,convert,verb
138,B2,convinced,adjective
139,B2,core,noun
140,B2,corporate,adjective
141,B2,council,noun
142,B2,county,noun
143,B2,courage,noun
144,B2,crash,noun
145,B2,creation,noun
146,B2,creature,noun
147,B2,credit,verb
148,B2,crew,noun
149,B2,crisis,noun
150,B2,criterion,noun
151,B2,critic,noun
152,B2,critical,adjective
153,B2,criticism,noun
154,B2,criticize,verb
155,B2,crop,noun
156,B2,crucial,adjective
157,B2,cry,noun
158,B2,cure,verb
159,B2,current,noun
160,B2,curve,noun
161,B2,curved,adjective
162,B2,date,verb
163,B2,debate,noun
164,B2,debt,noun
165,B2,decent,adjective
166,B2,declare,verb
167,B2,decline,verb
168,B2,decorate,verb
169,B2,decoration,noun
170,B2,decrease,verb
171,B2,deeply,adverb
172,B2,defeat,verb
173,B2,defend,verb
174,B2,defense,noun
175,B2,delay,verb
176,B2,deliberate,adjective
177,B2,deliberately,adverb
178,B2,delivery,noun
179,B2,demand,noun
180,B2,demonstrate,verb
181,B2,deny,verb
182,B2,depressed,adjective
183,B2,depressing,adjective
184,B2,depth,noun
185,B2,desert,verb
186,B2,deserve,verb
187,B2,desire,noun
188,B2,desperate,adjective
189,B2,detail,verb
190,B2,detailed,adjective
191,B2,detect,verb
192,B2,dig,verb
193,B2,discipline,noun
194,B2,discount,verb
195,B2,dishonest,adjective
196,B2,disk,noun
197,B2,dismiss,verb
198,B2,display,verb
199,B2,distribute,verb
200,B2,distribution,noun
201,B2,divide,noun
202,B2,division,noun
203,B2,document,verb
204,B2,domestic,adjective
205,B2,dominate,verb
206,B2,downward,adjective
207,B2,dozen,noun
208,B2,draft,noun
209,B2,drag,verb
210,B2,dramatic,adjective
211,B2,edit,verb
212,B2,edition,noun
213,B2,efficient,adjective
214,B2,elderly,adjective
215,B2,elect,verb
216,B2,elsewhere,adverb
217,B2,emerge,verb
218,B2,emotional,adjective
219,B2,emphasis,noun
220,B2,emphasize,verb
221,B2,enable,verb
222,B2,encounter,verb
223,B2,engage,verb
224,B2,enhance,verb
225,B2,ensure,verb
226,B2,enthusiasm,noun
227,B2,enthusiastic,adjective
228,B2,entire,adjective
229,B2,entirely,adverb
230,B2,equal,noun
231,B2,establish,verb
232,B2,estate,noun
233,B2,estimate,verb
234,B2,ethical,adjective
235,B2,evaluate,verb
236,B2,even,adjective
237,B2,evil,adjective
238,B2,examination,noun
239,B2,excuse,noun
240,B2,executive,noun
241,B2,exhibit,verb
242,B2,existence,noun
243,B2,exit,verb
244,B2,expectation,noun
245,B2,expense,noun
246,B2,exploration,noun
247,B2,expose,verb
248,B2,extend,verb
249,B2,extent,noun
250,B2,external,adjective
251,B2,extraordinary,adjective
252,B2,extreme,noun
253,B2,facility,noun
254,B2,failure,noun
255,B2,faith,noun
256,B2,fault,noun
257,B2,favor,verb
258,B2,feather,noun
259,B2,fee,noun
260,B2,feed,noun
261,B2,feedback,noun
262,B2,feel,noun
263,B2,fellow,adjective
264,B2,figure,verb
265,B2,file,verb
266,B2,finance,noun
267,B2,finding,noun
268,B2,firm,noun
269,B2,fix,noun
270,B2,flame,noun
271,B2,flash,noun
272,B2,flexible,adjective
273,B2,float,verb
274,B2,fold,noun
275,B2,folding,adjective
276,B2,forgive,verb
277,B2,former,adjective
278,B2,fortune,noun
279,B2,forward,adjective
280,B2,found,verb
281,B2,free,verb
282,B2,freedom,noun
283,B2,frequency,noun
284,B2,fuel,verb
285,B2,fully,adverb
286,B2,function,verb
287,B2,fund,noun
288,B2,fundamental,adjective
289,B2,funding,noun
290,B2,furthermore,adverb
291,B2,gain,verb
292,B2,gang,noun
293,B2,generate,verb
294,B2,genre,noun
295,B2,goods,noun
296,B2,govern,verb
297,B2,governor,noun
298,B2,grab,verb
299,B2,grade,verb
300,B2,gradually,adverb
301,B2,grand,adjective
302,B2,grant,verb
303,B2,guarantee,verb
304,B2,handle,verb
305,B2,harm,noun
306,B2,harmful,adjective
307,B2,hearing,noun
308,B2,heaven,noun
309,B2,heel,noun
310,B2,hell,noun
311,B2,hesitate,verb
312,B2,high,noun
313,B2,hire,noun
314,B2,hold,noun
315,B2,hollow,adjective
316,B2,holy,adjective
317,B2,honor,noun
318,B2,host,verb
319,B2,house,verb
320,B2,household,noun
321,B2,housing,noun
322,B2,humor,noun
323,B2,humorous,adjective
324,B2,hunt,noun
325,B2,hunting,noun
326,B2,hurt,noun
327,B2,ideal,noun
328,B2,illustrate,verb
329,B2,illustration,noun
330,B2,imagination,noun
331,B2,impatient,adjective
332,B2,imply,verb
333,B2,impose,verb
334,B2,impress,verb
335,B2,impressed,adjective
336,B2,inch,noun
337,B2,incident,noun
338,B2,income,noun
339,B2,increasingly,adverb
340,B2,industrial,adjective
341,B2,infection,noun
342,B2,inform,verb
343,B2,initial,adjective
344,B2,initially,adverb
345,B2,initiative,noun
346,B2,inner,adjective
347,B2,inquiry,noun
348,B2,insight,noun
349,B2,insist,verb
350,B2,inspire,verb
351,B2,install,verb
352,B2,instance,noun
353,B2,institute,noun
354,B2,institution,noun
355,B2,insurance,noun
356,B2,intended,adjective
357,B2,intense,adjective
358,B2,internal,adjective
359,B2,interpret,verb
360,B2,interrupt,verb
361,B2,investigation,noun
362,B2,investment,noun
363,B2,issue,verb
364,B2,joy,noun
365,B2,judgment,noun
366,B2,junior,adjective
367,B2,justice,noun
368,B2,justify,verb
369,B2,labor,noun
370,B2,landscape,noun
371,B2,largely,adverb
372,B2,latest,noun
373,B2,launch,verb
374,B2,leadership,noun
375,B2,league,noun
376,B2,lean,verb
377,B2,leave,noun
378,B2,level,verb
379,B2,license,noun
380,B2,limited,adjective
381,B2,line,verb
382,B2,lively,adjective
383,B2,load,noun
384,B2,loan,noun
385,B2,logical,adjective
386,B2,long-term,adjective
387,B2,loose,adjective
388,B2,lord,noun
389,B2,low,noun
390,B2,lower,verb
391,B2,lung,noun
392,B2,maintain,verb
393,B2,major,noun
394,B2,majority,noun
395,B2,make,noun
396,B2,map,verb
397,B2,mass,noun
398,B2,massive,adjective
399,B2,master,noun
400,B2,matching,adjective
401,B2,material,adjective
402,B2,maximum,adjective
403,B2,means,noun
404,B2,measurement,noun
405,B2,medium,noun
406,B2,melt,verb
407,B2,military,adjective
408,B2,mineral,noun
409,B2,minimum,adjective
410,B2,minister,noun
411,B2,minor,adjective
412,B2,minority,noun
