SID,WORD,POS,LEVEL
1,abolish,verb,C1
2,abortion,noun,C1
3,absence,noun,C1
4,absent,adjective,C1
5,absurd,adjective,C1
6,abuse,noun,C1
7,abuse,verb,C1
8,academy,noun,C1
9,accelerate,verb,C1
10,acceptance,noun,C1
11,accessible,adjective,C1
12,accomplishment,noun,C1
13,accordingly,adverb,C1
14,accountability,noun,C1
15,accountable,adjective,C1
16,accumulate,verb,C1
17,accumulation,noun,C1
18,accusation,noun,C1
19,accused,noun,C1
20,acid,adjective,C1
21,acquisition,noun,C1
22,activation,noun,C1
23,activist,noun,C1
24,acute,adjective,C1
25,adaptation,noun,C1
26,adhere,verb,C1
27,adjacent,adjective,C1
28,adjustment,noun,C1
29,administer,verb,C1
30,administrative,adjective,C1
31,administrator,noun,C1
32,admission,noun,C1
33,adolescent,noun,C1
34,adoption,noun,C1
35,adverse,adjective,C1
36,advocate,noun,C1
37,advocate,verb,C1
38,aesthetic,adjective,C1
39,affection,noun,C1
40,aftermath,noun,C1
41,aggression,noun,C1
42,agricultural,adjective,C1
43,aide,noun,C1
44,alert,verb,C1
45,alert,noun,C1
46,alert,adjective,C1
47,alien,adjective,C1
48,align,verb,C1
49,alignment,noun,C1
50,alike,adverb,C1
51,alike,adjective,C1
52,allegation,noun,C1
53,allege,verb,C1
54,allegedly,adverb,C1
55,alliance,noun,C1
56,allocate,verb,C1
57,allocation,noun,C1
58,allowance,noun,C1
59,ally,noun,C1
60,aluminum,noun,C1
61,amateur,adjective,C1
62,amateur,noun,C1
63,ambassador,noun,C1
64,amend,verb,C1
65,amendment,noun,C1
66,amid,preposition.,C1
67,analogy,noun,C1
68,anchor,noun,C1
69,angel,noun,C1
70,anonymous,adjective,C1
71,apparatus,noun,C1
72,apparel,noun,C1
73,appealing,adjective,C1
74,appetite,noun,C1
75,applaud,verb,C1
76,applicable,adjective,C1
77,appoint,verb,C1
78,appreciation,noun,C1
79,arbitrary,adjective,C1
80,architectural,adjective,C1
81,archive,noun,C1
82,arena,noun,C1
83,arm,verb,C1
84,array,noun,C1
85,articulate,verb,C1
86,ash,noun,C1
87,aspiration,noun,C1
88,aspire,verb,C1
89,assassination,noun,C1
90,assault,noun,C1
91,assault,verb,C1
92,assemble,verb,C1
93,assembly,noun,C1
94,assert,verb,C1
95,assertion,noun,C1
96,assurance,noun,C1
97,asylum,noun,C1
98,atrocity,noun,C1
99,attain,verb,C1
100,attendance,noun,C1
101,attribute,verb,C1
102,attribute,noun,C1
103,auction,noun,C1
104,audit,noun,C1
105,authentic,adjective,C1
106,authorize,verb,C1
107,auto,noun,C1
108,autonomy,noun,C1
109,autumn,noun,C1
110,availability,noun,C1
111,await,verb,C1
112,backdrop,noun,C1
113,backing,noun,C1
114,backup,noun,C1
115,bail,noun,C1
116,ballot,noun,C1
117,bankruptcy,noun,C1
118,banner,noun,C1
119,bare,adjective,C1
120,barrel,noun,C1
121,bass,noun,C1
122,bat,verb,C1
123,battlefield,noun,C1
124,bay,noun,C1
125,beam,noun,C1
126,beast,noun,C1
127,behalf,noun,C1
128,behavioral,adjective,C1
129,beloved,adjective,C1
130,bench,noun,C1
131,benchmark,noun,C1
132,beneath,preposition.,C1
133,beneficiary,noun,C1
134,betray,verb,C1
135,beverage,noun,C1
136,bind,verb,C1
137,biography,noun,C1
138,bishop,noun,C1
139,bizarre,adjective,C1
140,blade,noun,C1
141,blast,noun,C1
142,blast,verb,C1
143,bleed,verb,C1
144,blend,verb,C1
145,blend,noun,C1
146,bless,verb,C1
147,blessing,noun,C1
148,boast,verb,C1
149,bonus,noun,C1
150,booking,noun,C1
151,boom,noun,C1
152,bounce,verb,C1
153,boundary,noun,C1
154,bow,verb,C1
155,bow,noun,C1
156,breach,noun,C1
157,breach,verb,C1
158,breakdown,noun,C1
159,breakthrough,noun,C1
160,breed,verb,C1
161,breed,noun,C1
162,broadband,noun,C1
163,browser,noun,C1
164,brutal,adjective,C1
165,buddy,noun,C1
166,buffer,noun,C1
167,bulk,noun,C1
168,burden,noun,C1
169,bureaucracy,noun,C1
170,burial,noun,C1
171,burst,verb,C1
172,cabinet,noun,C1
173,calculation,noun,C1
174,canvas,noun,C1
175,capability,noun,C1
176,capitalism,noun,C1
177,capitalist,adjective,C1
178,cargo,noun,C1
179,carriage,noun,C1
180,carve,verb,C1
181,casino,noun,C1
182,casualty,noun,C1
183,catalog,noun,C1
184,cater,verb,C1
185,cattle,noun,C1
186,caution,noun,C1
187,cautious,adjective,C1
188,cease,verb,C1
189,cemetery,noun,C1
190,chamber,noun,C1
191,chaos,noun,C1
192,characterize,verb,C1
193,charm,noun,C1
194,charter,noun,C1
195,choir,noun,C1
196,chronic,adjective,C1
197,chunk,noun,C1
198,circulate,verb,C1
199,circulation,noun,C1
200,citizenship,noun,C1
201,civic,adjective,C1
202,civilian,noun,C1
203,civilian,adjective,C1
204,clarity,noun,C1
205,clash,noun,C1
206,classification,noun,C1
207,cling,verb,C1
208,clinical,adjective,C1
209,closure,noun,C1
210,cluster,noun,C1
211,coalition,noun,C1
212,coastal,adjective,C1
213,cocktail,noun,C1
214,cognitive,adjective,C1
215,coincide,verb,C1
216,collaborate,verb,C1
217,collaboration,noun,C1
218,collective,adjective,C1
219,collision,noun,C1
220,colonial,adjective,C1
221,columnist,noun,C1
222,combat,noun,C1
223,combat,verb,C1
224,commence,verb,C1
225,commentary,noun,C1
226,commentator,noun,C1
227,commerce,noun,C1
228,commissioner,noun,C1
229,commodity,noun,C1
230,communist,adjective,C1
231,companion,noun,C1
232,comparable,adjective,C1
233,compassion,noun,C1
234,compel,verb,C1
235,compelling,adjective,C1
236,compensate,verb,C1
237,compensation,noun,C1
238,competence,noun,C1
239,competent,adjective,C1
240,compile,verb,C1
241,complement,verb,C1
242,complexity,noun,C1
243,compliance,noun,C1
244,complication,noun,C1
245,comply,verb,C1
246,composition,noun,C1
247,compromise,noun,C1
248,compromise,verb,C1
249,compute,verb,C1
250,conceal,verb,C1
251,concede,verb,C1
252,conceive,verb,C1
253,conception,noun,C1
254,concession,noun,C1
255,condemn,verb,C1
256,confer,verb,C1
257,confession,noun,C1
258,configuration,noun,C1
259,confine,verb,C1
260,confirmation,noun,C1
261,confront,verb,C1
262,confrontation,noun,C1
263,congratulate,verb,C1
264,congregation,noun,C1
265,congressional,adjective,C1
266,conquer,verb,C1
267,conscience,noun,C1
268,consciousness,noun,C1
269,consecutive,adjective,C1
270,consensus,noun,C1
271,consent,noun,C1
272,consent,verb,C1
273,conserve,verb,C1
274,consistency,noun,C1
275,consolidate,verb,C1
276,constitute,verb,C1
277,constitution,noun,C1
278,constitutional,adjective,C1
279,constraint,noun,C1
280,consultation,noun,C1
281,contemplate,verb,C1
282,contempt,noun,C1
283,contend,verb,C1
284,contender,noun,C1
285,content,adjective,C1
286,contention,noun,C1
287,continually,adverb,C1
288,contractor,noun,C1
289,contradiction,noun,C1
290,contrary,adjective,C1
291,contrary,noun,C1
292,contributor,noun,C1
293,conversion,noun,C1
294,convict,verb,C1
295,conviction,noun,C1
296,cooperate,verb,C1
297,cooperative,adjective,C1
298,coordinate,verb,C1
299,coordination,noun,C1
300,coordinator,noun,C1
301,copper,noun,C1
302,copyright,noun,C1
303,correction,noun,C1
304,correlate,verb,C1
305,correlation,noun,C1
306,correspond,verb,C1
307,correspondence,noun,C1
308,correspondent,noun,C1
309,corresponding,adjective,C1
310,corrupt,adjective,C1
311,corruption,noun,C1
312,costly,adjective,C1
313,councilor,noun,C1
314,counseling,noun,C1
315,counselor,noun,C1
316,counter,verb,C1
317,counterpart,noun,C1
318,countless,adjective,C1
319,coup,noun,C1
320,courtesy,noun,C1
321,craft,verb,C1
322,crawl,verb,C1
323,creator,noun,C1
324,credibility,noun,C1
325,credible,adjective,C1
326,creep,verb,C1
327,critique,noun,C1
328,crown,noun,C1
329,crude,adjective,C1
330,crush,verb,C1
331,crystal,noun,C1
332,cult,noun,C1
333,cult,adjective,C1
334,cultivate,verb,C1
335,curiosity,noun,C1
336,custody,noun,C1
337,cutting,noun,C1
338,cynical,adjective,C1
339,dam,noun,C1
340,damaging,adjective,C1
341,dawn,noun,C1
342,debris,noun,C1
343,debut,noun,C1
344,decision-making,noun,C1
345,decisive,adjective,C1
346,declaration,noun,C1
347,dedicated,adjective,C1
348,dedication,noun,C1
349,deed,noun,C1
350,deem,verb,C1
351,default,noun,C1
352,defect,noun,C1
353,defensive,adjective,C1
354,deficiency,noun,C1
355,deficit,noun,C1
356,defy,verb,C1
357,delegate,noun,C1
358,delegation,noun,C1
359,delicate,adjective,C1
360,demon,noun,C1
361,denial,noun,C1
362,denounce,verb,C1
363,dense,adjective,C1
364,density,noun,C1
365,dependence,noun,C1
